Genotype,Treatment,Tissue position,Replication,RD,SD,S%RD,EMXD,LMXD,ScLD,ScCD,EnLD,EnCD,LMXN
APO,Control,RSJ,I,1370.6,319.7,23.3,22.2,59.6,12.7,7.2,11.9,10.5,5.0
APO,Control,RSJ,II,943.6,215.7,22.9,15.0,50.0,9.8,6.8,10.3,10.0,4.0
APO,Control,RSJ,III,1441.8,276.6,19.2,18.6,63.8,10.2,4.9,13.5,10.8,4.0
APO,Control,15/10cm,I,864.1,199.3,23.1,14.7,48.9,7.8,6.9,12.4,8.4,4.0
APO,Control,15/10cm,II,782.4,177.7,22.7,13.5,45.1,10.0,8.8,10.7,9.7,4.0
APO,Control,15/10cm,III,970.4,211.3,21.8,13.4,48.5,7.8,4.0,13.0,8.4,5.0
APO,Control,60mm,I,953.2,214.1,22.5,16.1,54.8,11.1,10.9,12.7,10.5,4.0
APO,Control,60mm,II,715.7,156.4,21.9,13.5,50.7,15.2,14.2,11.5,10.4,2.0
APO,Control,60mm,III,1120.1,239.5,21.4,15.9,52.6,12.1,9.2,13.3,10.3,5.0
APO,Drought,RSJ,I,1300.6,277.5,21.3,15.7,49.3,11.0,9.7,14.2,12.5,7.0
APO,Drought,RSJ,II,1147.0,286.8,25.0,15.7,61.7,9.0,5.9,15.5,10.4,5.0
APO,Drought,RSJ,III,802.2,190.0,23.7,12.4,43.1,6.8,4.2,13.7,7.0,4.0
APO,Drought,15/10cm,I,829.6,229.4,27.6,17.1,59.7,10.9,7.3,14.6,5.2,4.0
APO,Drought,15/10cm,II,1112.5,246.5,22.2,16.8,57.5,9.3,9.5,13.3,9.0,4.0
APO,Drought,15/10cm,III,741.4,201.5,27.2,13.3,55.4,9.1,7.1,12.0,5.6,4.0
APO,Drought,60mm,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APO,Drought,60mm,II,798.3,181.9,22.8,14.2,47.9,13.4,11.8,11.8,9.1,4.0
APO,Drought,60mm,III,695.5,179.2,25.8,13.0,48.7,20.7,19.9,11.7,7.1,4.0
N22,Control,RSJ,I,1242.0,277.6,22.4,20.6,62.6,9.4,6.3,13.0,9.7,4.0
N22,Control,RSJ,II,1187.6,297.3,25.0,23.2,60.1,13.6,8.5,14.0,12.3,5.0
N22,Control,RSJ,III,1287.9,274.8,21.3,19.6,64.2,9.1,6.1,16.1,10.6,5.0
N22,Control,15/10cm,I,1118.4,237.0,21.2,18.3,58.9,11.6,8.7,16.0,11.9,4.0
N22,Control,15/10cm,II,1012.7,231.5,22.9,17.9,57.2,9.0,6.3,12.4,8.8,5.0
N22,Control,15/10cm,III,1076.4,265.9,24.7,21.0,61.8,10.0,7.4,15.7,11.5,5.0
N22,Control,60mm,I,1338.2,272.5,20.4,18.6,59.0,10.4,7.5,14.6,12.2,5.0
N22,Control,60mm,II,919.8,196.6,21.4,17.0,60.3,12.6,9.9,13.0,10.1,3.0
N22,Control,60mm,III,1035.4,237.2,22.9,20.0,61.2,12.1,9.3,14.9,11.5,4.0
N22,Drought,RSJ,I,1342.9,339.9,25.3,22.2,62.9,12.3,7.6,16.9,10.4,5.0
N22,Drought,RSJ,II,966.5,235.3,24.3,13.1,39.0,20.5,6.4,11.3,7.2,6.0
N22,Drought,RSJ,III,1055.2,275.7,26.1,18.3,53.9,9.8,6.9,14.8,10.9,6.0
N22,Drought,15/10cm,I,879.2,256.3,29.2,17.3,53.3,12.4,7.8,14.4,9.2,4.5
N22,Drought,15/10cm,II,832.3,225.8,27.1,18.2,58.1,12.8,10.4,13.4,7.5,4.0
N22,Drought,15/10cm,III,1193.6,299.7,25.1,23.7,67.1,17.4,14.1,16.0,9.5,5.0
N22,Drought,60mm,I,934.6,262.5,28.1,15.0,39.3,20.2,16.4,12.4,9.1,5.5
N22,Drought,60mm,II,735.6,213.8,29.1,16.5,60.4,24.7,22.0,10.9,7.7,3.0
N22,Drought,60mm,III,993.8,255.9,25.7,22.6,58.2,15.2,11.3,16.1,10.7,4.0
IR64,Control,RSJ,I,1391.3,283.4,20.4,19.8,64.8,9.9,6.2,14.1,9.4,4.0
IR64,Control,RSJ,II,1252.4,270.3,21.6,18.9,58.8,10.6,7.1,13.3,9.0,4.0
IR64,Control,RSJ,III,1273.9,255.9,20.1,15.8,51.1,11.7,5.5,11.4,7.6,5.0
IR64,Control,15/10cm,I,784.0,184.0,23.5,14.3,47.4,6.8,4.8,11.3,7.2,4.0
IR64,Control,15/10cm,II,706.2,151.6,21.5,12.6,42.9,8.6,5.7,12.6,6.7,3.3
IR64,Control,15/10cm,III,1053.7,208.0,19.7,17.2,58.2,11.1,9.3,12.7,10.3,3.0
IR64,Control,60mm,I,686.5,150.8,22.0,15.6,50.9,13.9,11.8,10.6,7.7,2.0
IR64,Control,60mm,II,834.8,188.7,22.6,15.5,52.3,10.4,7.5,13.6,8.1,3.0
IR64,Control,60mm,III,666.9,146.4,22.0,16.4,58.2,17.0,14.5,12.0,8.2,1.0
IR64,Drought,RSJ,I,1124.5,266.3,23.7,14.6,46.7,13.3,5.3,12.7,7.7,5.0
IR64,Drought,RSJ,II,1018.7,252.0,24.7,15.4,50.1,11.8,4.3,13.6,8.6,5.0
IR64,Drought,RSJ,III,790.3,196.5,24.9,14.0,49.5,8.7,4.1,12.9,9.3,3.0
IR64,Drought,15/10cm,I,874.3,211.9,24.2,15.8,48.6,10.7,6.9,11.8,5.8,5.0
IR64,Drought,15/10cm,II,570.4,176.4,30.9,16.3,45.3,NA,NA,11.3,6.3,3.0
IR64,Drought,15/10cm,III,881.1,229.7,26.1,17.1,55.9,10.4,7.2,12.7,7.9,4.0
IR64,Drought,60mm,I,750.1,189.6,25.3,16.3,55.1,18.8,16.1,12.1,7.0,2.3
IR64,Drought,60mm,II,821.8,210.8,25.7,15.9,49.4,8.4,5.8,12.8,5.4,5.0
IR64,Drought,60mm,III,656.6,191.0,29.1,15.2,44.5,18.9,14.4,8.6,4.8,5.0
